,Company Id,PROs Culture & Values mean,PROs Work/Life Balance mean,PROs Senior Management mean,PROs Comp & Benefits mean,PROs Career Opportunities mean,CONs Culture & Values mean,CONs Work/Life Balance mean,CONs Senior Management mean,CONs Comp & Benefits mean,CONs Career Opportunities mean,PROs Culture & Values count,PROs Work/Life Balance count,PROs Senior Management count,PROs Comp & Benefits count,PROs Career Opportunities count,CONs Culture & Values count,CONs Work/Life Balance count,CONs Senior Management count,CONs Comp & Benefits count,CONs Career Opportunities count
0,4,0.47377115384615376,0.3986599999999999,0.36067999999999995,0.5265116279069766,0.4336774193548387,-0.05645494505494505,-0.1899565217391304,-0.20628805970149244,-0.11042500000000002,0.01117999999999999,52.0,25.0,15.0,43.0,31.0,91.0,23.0,67.0,40.0,35.0
1,7,0.4524612903225806,0.45203333333333334,0.53295,0.5418999999999999,0.5509636363636363,-0.07465384615384617,-0.117675,-0.22759583333333336,0.018573333333333348,0.16498823529411763,31.0,15.0,4.0,22.0,11.0,52.0,4.0,24.0,15.0,17.0
2,8,0.5327740000000004,0.5190775800711743,0.4693223529411764,0.5557959442332067,0.49578382352941136,-0.06979494290375207,-0.010617812500000002,-0.09841215189873413,-0.05691146496815282,0.07805756097560979,450.0,281.0,85.0,789.0,204.0,613.0,320.0,395.0,471.0,205.0
3,12,0.5479248387096772,0.5361315217391305,0.4950256410256411,0.6060381924198247,0.5285531645569614,-0.01745999999999999,-0.028165671641791044,-0.034812393162393165,0.037818691588785064,0.034389035087719295,310.0,92.0,78.0,343.0,237.0,395.0,67.0,234.0,107.0,228.0
4,14,0.21671818181818184,0.40062,0.24334285714285722,0.2983400000000001,0.44898571428571427,-0.04964545454545455,-0.19055000000000002,-0.041236363636363634,0.2719785714285714,0.094465,11.0,10.0,14.0,20.0,7.0,33.0,6.0,22.0,14.0,20.0
5,15,0.5279252186588933,0.498453214285714,0.41766258064516093,0.5007985765124552,0.5138785388127852,-0.008189059829059833,-0.06228850574712643,-0.07079600886917967,0.08076345381526101,0.0876418181818181,686.0,280.0,155.0,281.0,219.0,585.0,87.0,451.0,249.0,275.0
6,16,0.5412445,0.4771491166077734,0.47316518987341744,0.5750327695560253,0.5090780487804876,-0.016776304654442846,-0.04719681528662422,-0.07131180904522615,0.06257002652519895,0.04120922619047615,400.0,283.0,158.0,473.0,246.0,709.0,157.0,398.0,377.0,336.0
7,17,0.5601727891156462,0.5015098360655736,0.434732558139535,0.45694100000000004,0.5446321428571426,0.07269440000000003,0.005551999999999999,0.011670370370370371,0.07607878787878788,0.10904769230769232,147.0,61.0,43.0,100.0,84.0,125.0,25.0,54.0,33.0,65.0
8,18,0.48594676258992786,0.3502245901639346,0.3736807692307692,0.47937440476190396,0.4679878048780487,-0.029746376811594175,-0.0929375,-0.07606169154228855,0.018230275229357808,-0.022401960784313717,139.0,61.0,52.0,168.0,82.0,276.0,48.0,201.0,109.0,102.0
9,19,0.6064364485981306,0.5795131578947368,0.5215111111111111,0.6453007246376807,0.5973515151515151,0.0300412587412587,-0.0014328947368421,0.00033650793650792855,-0.13961927710843372,-0.07982195121951219,107.0,38.0,18.0,138.0,33.0,143.0,76.0,63.0,83.0,41.0
10,20,0.46925833333333333,0.5312,0.27815,0.6526285714285713,0.61205,0.17218235294117648,-0.11543999999999999,-0.022427272727272726,-0.0336,-0.18850000000000003,12.0,3.0,2.0,7.0,4.0,17.0,5.0,11.0,6.0,7.0
11,27,0.5387132420091317,0.608192156862745,0.4763657534246575,0.6289740932642486,0.5672075471698115,-0.032072480620155025,-0.10457906976744188,-0.10311273885350314,0.008755932203389825,0.09972605042016802,219.0,51.0,73.0,193.0,106.0,258.0,43.0,157.0,59.0,119.0
12,28,0.5021250885896531,0.457619172932332,0.442790055248619,0.4607314004376373,0.5294645016797322,-0.014362269585253513,-0.07907056277056274,-0.05504547224926972,0.0639992926613616,0.07683037542662108,1411.0,532.0,362.0,914.0,893.0,1736.0,462.0,1027.0,1131.0,879.0
13,29,0.5434805084745762,0.48349411764705885,0.4570166666666667,0.5604735294117642,0.4777373737373737,-0.017771508379888258,-0.09979821428571425,-0.021794565217391305,0.07292352941176475,0.11238723404255321,118.0,34.0,42.0,136.0,99.0,179.0,56.0,92.0,51.0,94.0
