,Ticker Symbol,Ticker Sector,Ticker Industry,Company Id,Company URL,company_name,count
0,vtx:rog,Health Care,Pharmaceuticals & Biotechnology,274,"https://www.glassdoor.com/Overview/Working-at-Genentech-EI_IE274.11,20.htm",Genentech,609
1,bcs:falabella,,,10976,"https://www.glassdoor.com/Overview/Working-at-Falabella-EI_IE10976.11,20.htm",Falabella,9
2,asx:wow,Consumer Services,Food & Drug Retailers,473193,"https://www.glassdoor.com/Overview/Working-at-Big-W-EI_IE473193.11,16.htm",Big W,70
3,asx:wor,,,35193,"https://www.glassdoor.com/Overview/Working-at-WorleyParsons-EI_IE35193.11,24.htm",WorleyParsons,379
4,nyse:xom,Oil & Gas,Oil & Gas Producers,237,"https://www.glassdoor.com/Overview/Working-at-ExxonMobil-EI_IE237.11,21.htm",ExxonMobil,845
5,nyse:cat,Industrials,Industrial Engineering,137,"https://www.glassdoor.com/Overview/Working-at-Caterpillar-EI_IE137.11,22.htm",Caterpillar,952
6,nyse:wrk,Industrials,General Industrials,1033056,"https://www.glassdoor.com/Overview/Working-at-WestRock-EI_IE1033056.11,19.htm",WestRock,275
7,nyse:cxw,Financials,General Financial,6826,"https://www.glassdoor.com/Overview/Working-at-Corrections-Corporation-of-America-EI_IE6826.11,45.htm",Corrections Corporation of America,83
8,lon:mcro,Technology,Software & Computer Services,15057,"https://www.glassdoor.com/Overview/Working-at-Micro-Focus-EI_IE15057.11,22.htm",Micro Focus,204
9,nyse:phh,Industrials,Industrial Transportation,17798,"https://www.glassdoor.com/Overview/Working-at-PHH-Mortgage-EI_IE17798.11,23.htm",PHH Mortgage,140
10,sto:secu-b,,,16559,"https://www.glassdoor.com/Overview/Working-at-Securitas-Security-Services-USA-EI_IE16559.11,42.htm",Securitas Security Services USA,367
11,nyse:gs,Financials,Financial Services,2800,"https://www.glassdoor.com/Overview/Working-at-Goldman-Sachs-EI_IE2800.11,24.htm",Goldman Sachs,717
12,nyse:orcl,Technology,Software & Computer Services,1737,"https://www.glassdoor.com/Overview/Working-at-Oracle-EI_IE1737.11,17.htm",Oracle,2783
13,nyse:shw,Industrials,Construction & Materials,599,"https://www.glassdoor.com/Overview/Working-at-Sherwin-Williams-EI_IE599.11,27.htm",Sherwin Williams,528
14,nyse:snv,Financials,Banks,1202,"https://www.glassdoor.com/Overview/Working-at-Synovus-EI_IE1202.11,18.htm",Synovus,89
15,nyse:lmt,Industrials,Aerospace & Defense,404,"https://www.glassdoor.com/Overview/Working-at-Lockheed-Martin-EI_IE404.11,26.htm",Lockheed Martin,1696
16,nyse:deg,Consumer Goods,Food Producers,1347599,"https://www.glassdoor.com/Overview/Working-at-Ahold-Delhaize-EI_IE1347599.11,25.htm",Ahold Delhaize,36
17,nyse:bby,Consumer Services,General Retailers,97,"https://www.glassdoor.com/Overview/Working-at-Best-Buy-EI_IE97.11,19.htm",Best Buy,2149
18,nyse:hum,Health Care,Health Care Equipment & Services,340,"https://www.glassdoor.com/Overview/Working-at-Humana-EI_IE340.11,17.htm",Humana,838
19,nasdaq:cern,Technology,Software & Computer Services,1242,"https://www.glassdoor.com/Overview/Working-at-Cerner-EI_IE1242.11,17.htm",Cerner,539
20,nyse:caj,Technology,Technology Hardware & Equipment,3522,"https://www.glassdoor.com/Overview/Working-at-Canon-EI_IE3522.11,16.htm",Canon,158
21,nyse:lnc,Financials,Life Insurance,403,"https://www.glassdoor.com/Overview/Working-at-Lincoln-Financial-Group-EI_IE403.11,34.htm",Lincoln Financial Group,261
22,nyse:m,Consumer Services,General Retailers,1079,"https://www.glassdoor.com/Overview/Working-at-Macy-s-EI_IE1079.11,17.htm",Macy s,2290
23,nyse:tif,Consumer Services,General Retailers,663,"https://www.glassdoor.com/Overview/Working-at-Tiffany-and-Co-EI_IE663.11,25.htm",Tiffany and Co,245
24,nyse:bp,Oil & Gas,Oil & Gas Producers,9011,"https://www.glassdoor.com/Overview/Working-at-BP-EI_IE9011.11,13.htm",BP,955
25,nasdaq:amzn,Consumer Services,General Retailers,6036,"https://www.glassdoor.com/Overview/Working-at-Amazon-EI_IE6036.11,17.htm",Amazon,4116
26,nyse:rhi,Industrials,Support Services,1838,"https://www.glassdoor.com/Overview/Working-at-Robert-Half-EI_IE1838.11,22.htm",Robert Half,772
27,nyse:bms,Industrials,General Industrials,92,"https://www.glassdoor.com/Overview/Working-at-Bemis-EI_IE92.11,16.htm",Bemis,106
28,nyse:noc,Industrials,Aerospace & Defense,488,"https://www.glassdoor.com/Overview/Working-at-Northrop-Grumman-EI_IE488.11,27.htm",Northrop Grumman,1279
29,nyse:brfs,Consumer Goods,Food Producers,473976,"https://www.glassdoor.com/Overview/Working-at-Brasil-Foods-EI_IE473976.11,23.htm",Brasil Foods,8
30,nasdaq:dltr,Consumer Services,General Retailers,4033,"https://www.glassdoor.com/Overview/Working-at-Dollar-Tree-EI_IE4033.11,22.htm",Dollar Tree,324
31,nyse:sjr,Consumer Services,Media,7462,"https://www.glassdoor.com/Overview/Working-at-Shaw-Communications-EI_IE7462.11,30.htm",Shaw Communications,273
32,nyse:rhi,Industrials,Support Services,473258,"https://www.glassdoor.com/Overview/Working-at-OfficeTeam-EI_IE473258.11,21.htm",OfficeTeam,218
33,nasdaq:bset,Consumer Goods,Household Goods,1178,"https://www.glassdoor.com/Overview/Working-at-Bassett-Furniture-EI_IE1178.11,28.htm",Bassett Furniture,44
34,xetra:sie,,,3510,"https://www.glassdoor.com/Overview/Working-at-Siemens-EI_IE3510.11,18.htm",Siemens,1729
35,nasdaq:ilmn,Health Care,Pharmaceuticals & Biotechnology,11671,"https://www.glassdoor.com/Overview/Working-at-Illumina-EI_IE11671.11,19.htm",Illumina,237
36,nasdaq:goog,Technology,General Retailers,9079,"https://www.glassdoor.com/Overview/Working-at-Google-EI_IE9079.11,17.htm",Google,1842
37,nasdaq:rp,Technology,Software & Computer Services,104221,"https://www.glassdoor.com/Overview/Working-at-RealPage-EI_IE104221.11,19.htm",RealPage,282
38,nyse:cbu,Financials,Banks,1287,"https://www.glassdoor.com/Overview/Working-at-Community-Bank-System-EI_IE1287.11,32.htm",Community Bank System,3
39,nyse:caa,Consumer Goods,Household Goods,1151884,"https://www.glassdoor.com/Overview/Working-at-CalAtlantic-Homes-EI_IE1151884.11,28.htm",CalAtlantic Homes,26
40,xetra:bayn,Health Care,Health Care Equipment & Services,4245,"https://www.glassdoor.com/Overview/Working-at-Bayer-EI_IE4245.11,16.htm",Bayer,562
41,nyse:wm,Industrials,Support Services,2094,"https://www.glassdoor.com/Overview/Working-at-Waste-Management-EI_IE2094.11,27.htm",Waste Management,391
42,nyse:s,Telecommunications,Mobile Telecommunications,13345,"https://www.glassdoor.com/Overview/Working-at-Sprint-EI_IE13345.11,17.htm",Sprint,1435
43,nyse:ads,Industrials,Support Services,11603,"https://www.glassdoor.com/Overview/Working-at-CJ-Affiliate-by-Conversant-EI_IE11603.11,37.htm",CJ Affiliate by Conversant,35
44,nyse:cvs,Consumer Services,Food & Drug Retailers,437,"https://www.glassdoor.com/Overview/Working-at-CVS-Health-EI_IE437.11,21.htm",CVS Health,1477
45,lon:pets,Consumer Services,General Retailers,33061,"https://www.glassdoor.com/Overview/Working-at-Pets-at-Home-EI_IE33061.11,23.htm",Pets at Home,65
46,nyse:wmt,Consumer Services,General Retailers,7811,"https://www.glassdoor.com/Overview/Working-at-Sam-s-Club-EI_IE7811.11,21.htm",Sam s Club,810
47,xetra:lxs,,,27068,"https://www.glassdoor.com/Overview/Working-at-LANXESS-Global-EI_IE27068.11,25.htm",LANXESS Global,28
48,nasdaq:viav,Technology,Technology Hardware & Equipment,1053141,"https://www.glassdoor.com/Overview/Working-at-Viavi-Solutions-EI_IE1053141.11,26.htm",Viavi Solutions,54
49,nyse:big,Consumer Services,General Retailers,177,"https://www.glassdoor.com/Overview/Working-at-Big-Lots-EI_IE177.11,19.htm",Big Lots,296
50,nyse:gps,Consumer Services,General Retailers,18861,"https://www.glassdoor.com/Overview/Working-at-Old-Navy-EI_IE18861.11,19.htm",Old Navy,464
51,nyse:nvo,Health Care,Pharmaceuticals & Biotechnology,3498,"https://www.glassdoor.com/Overview/Working-at-Novo-Nordisk-EI_IE3498.11,23.htm",Novo Nordisk,279
52,nyse:slb,Oil & Gas,"Oil Equipment, Services & Distribution",588,"https://www.glassdoor.com/Overview/Working-at-Schlumberger-EI_IE588.11,23.htm",Schlumberger,1283
53,asx:sek,Industrials,Support Services,229888,"https://www.glassdoor.com/Overview/Working-at-SEEK-EI_IE229888.11,15.htm",SEEK,42
54,nyse:bac,Financials,Banks,8874,"https://www.glassdoor.com/Overview/Working-at-Bank-of-America-EI_IE8874.11,26.htm",Bank of America,3644
55,nasdaq:vrtx,Health Care,Pharmaceuticals & Biotechnology,2080,"https://www.glassdoor.com/Overview/Working-at-Vertex-Pharmaceuticals-EI_IE2080.11,33.htm",Vertex Pharmaceuticals,94
