,Title,skill Reading Comprehension Importance,skill Reading Comprehension Level,skill Active Listening Importance,skill Active Listening Level,skill Writing Importance,skill Writing Level,skill Speaking Importance,skill Speaking Level,skill Mathematics Importance,skill Mathematics Level,skill Science Importance,skill Science Level,skill Critical Thinking Importance,skill Critical Thinking Level,skill Active Learning Importance,skill Active Learning Level,skill Learning Strategies Importance,skill Learning Strategies Level,skill Monitoring Importance,skill Monitoring Level,skill Social Perceptiveness Importance,skill Social Perceptiveness Level,skill Coordination Importance,skill Coordination Level,skill Persuasion Importance,skill Persuasion Level,skill Negotiation Importance,skill Negotiation Level,skill Instructing Importance,skill Instructing Level,skill Service Orientation Importance,skill Service Orientation Level,skill Complex Problem Solving Importance,skill Complex Problem Solving Level,skill Operations Analysis Importance,skill Operations Analysis Level,skill Technology Design Importance,skill Technology Design Level,skill Equipment Selection Importance,skill Equipment Selection Level,skill Installation Importance,skill Installation Level,skill Programming Importance,skill Programming Level,skill Operation Monitoring Importance,skill Operation Monitoring Level,skill Operation and Control Importance,skill Operation and Control Level,skill Equipment Maintenance Importance,skill Equipment Maintenance Level,skill Troubleshooting Importance,skill Troubleshooting Level,skill Repairing Importance,skill Repairing Level,skill Quality Control Analysis Importance,skill Quality Control Analysis Level,skill Judgment and Decision Making Importance,skill Judgment and Decision Making Level,skill Systems Analysis Importance,skill Systems Analysis Level,skill Systems Evaluation Importance,skill Systems Evaluation Level,skill Time Management Importance,skill Time Management Level,skill Management of Financial Resources Importance,skill Management of Financial Resources Level,skill Management of Material Resources Importance,skill Management of Material Resources Level,skill Management of Personnel Resources Importance,skill Management of Personnel Resources Level,skills_N,abilities Oral Comprehension Importance,abilities Oral Comprehension Level,abilities Written Comprehension Importance,abilities Written Comprehension Level,abilities Oral Expression Importance,abilities Oral Expression Level,abilities Written Expression Importance,abilities Written Expression Level,abilities Fluency of Ideas Importance,abilities Fluency of Ideas Level,abilities Originality Importance,abilities Originality Level,abilities Problem Sensitivity Importance,abilities Problem Sensitivity Level,abilities Deductive Reasoning Importance,abilities Deductive Reasoning Level,abilities Inductive Reasoning Importance,abilities Inductive Reasoning Level,abilities Information Ordering Importance,abilities Information Ordering Level,abilities Category Flexibility Importance,abilities Category Flexibility Level,abilities Mathematical Reasoning Importance,abilities Mathematical Reasoning Level,abilities Number Facility Importance,abilities Number Facility Level,abilities Memorization Importance,abilities Memorization Level,abilities Speed of Closure Importance,abilities Speed of Closure Level,abilities Flexibility of Closure Importance,abilities Flexibility of Closure Level,abilities Perceptual Speed Importance,abilities Perceptual Speed Level,abilities Spatial Orientation Importance,abilities Spatial Orientation Level,abilities Visualization Importance,abilities Visualization Level,abilities Selective Attention Importance,abilities Selective Attention Level,abilities Time Sharing Importance,abilities Time Sharing Level,abilities Arm-Hand Steadiness Importance,abilities Arm-Hand Steadiness Level,abilities Manual Dexterity Importance,abilities Manual Dexterity Level,abilities Finger Dexterity Importance,abilities Finger Dexterity Level,abilities Control Precision Importance,abilities Control Precision Level,abilities Multilimb Coordination Importance,abilities Multilimb Coordination Level,abilities Response Orientation Importance,abilities Response Orientation Level,abilities Rate Control Importance,abilities Rate Control Level,abilities Reaction Time Importance,abilities Reaction Time Level,abilities Wrist-Finger Speed Importance,abilities Wrist-Finger Speed Level,abilities Speed of Limb Movement Importance,abilities Speed of Limb Movement Level,abilities Static Strength Importance,abilities Static Strength Level,abilities Explosive Strength Importance,abilities Explosive Strength Level,abilities Dynamic Strength Importance,abilities Dynamic Strength Level,abilities Trunk Strength Importance,abilities Trunk Strength Level,abilities Stamina Importance,abilities Stamina Level,abilities Extent Flexibility Importance,abilities Extent Flexibility Level,abilities Dynamic Flexibility Importance,abilities Dynamic Flexibility Level,abilities Gross Body Coordination Importance,abilities Gross Body Coordination Level,abilities Gross Body Equilibrium Importance,abilities Gross Body Equilibrium Level,abilities Near Vision Importance,abilities Near Vision Level,abilities Far Vision Importance,abilities Far Vision Level,abilities Visual Color Discrimination Importance,abilities Visual Color Discrimination Level,abilities Night Vision Importance,abilities Night Vision Level,abilities Peripheral Vision Importance,abilities Peripheral Vision Level,abilities Depth Perception Importance,abilities Depth Perception Level,abilities Glare Sensitivity Importance,abilities Glare Sensitivity Level,abilities Hearing Sensitivity Importance,abilities Hearing Sensitivity Level,abilities Auditory Attention Importance,abilities Auditory Attention Level,abilities Sound Localization Importance,abilities Sound Localization Level,abilities Speech Recognition Importance,abilities Speech Recognition Level,abilities Speech Clarity Importance,abilities Speech Clarity Level,abilities_N,knowledge Administration and Management Importance,knowledge Administration and Management Level,knowledge Clerical Importance,knowledge Clerical Level,knowledge Economics and Accounting Importance,knowledge Economics and Accounting Level,knowledge Sales and Marketing Importance,knowledge Sales and Marketing Level,knowledge Customer and Personal Service Importance,knowledge Customer and Personal Service Level,knowledge Personnel and Human Resources Importance,knowledge Personnel and Human Resources Level,knowledge Production and Processing Importance,knowledge Production and Processing Level,knowledge Food Production Importance,knowledge Food Production Level,knowledge Computers and Electronics Importance,knowledge Computers and Electronics Level,knowledge Engineering and Technology Importance,knowledge Engineering and Technology Level,knowledge Design Importance,knowledge Design Level,knowledge Building and Construction Importance,knowledge Building and Construction Level,knowledge Mechanical Importance,knowledge Mechanical Level,knowledge Mathematics Importance,knowledge Mathematics Level,knowledge Physics Importance,knowledge Physics Level,knowledge Chemistry Importance,knowledge Chemistry Level,knowledge Biology Importance,knowledge Biology Level,knowledge Psychology Importance,knowledge Psychology Level,knowledge Sociology and Anthropology Importance,knowledge Sociology and Anthropology Level,knowledge Geography Importance,knowledge Geography Level,knowledge Medicine and Dentistry Importance,knowledge Medicine and Dentistry Level,knowledge Therapy and Counseling Importance,knowledge Therapy and Counseling Level,knowledge Education and Training Importance,knowledge Education and Training Level,knowledge English Language Importance,knowledge English Language Level,knowledge Foreign Language Importance,knowledge Foreign Language Level,knowledge Fine Arts Importance,knowledge Fine Arts Level,knowledge History and Archeology Importance,knowledge History and Archeology Level,knowledge Philosophy and Theology Importance,knowledge Philosophy and Theology Level,knowledge Public Safety and Security Importance,knowledge Public Safety and Security Level,knowledge Law and Government Importance,knowledge Law and Government Level,knowledge Telecommunications Importance,knowledge Telecommunications Level,knowledge Communications and Media Importance,knowledge Communications and Media Level,knowledge Transportation Importance,knowledge Transportation Level,knowledge N
0,Chief Executives,4.12,4.75,4.12,4.88,4.0,4.38,4.38,4.88,3.25,3.62,1.88,1.12,4.38,4.75,4.0,4.75,3.12,3.88,4.12,5.5,4.25,4.25,4.25,5.12,4.12,5.0,4.12,4.62,3.12,3.88,3.12,3.38,4.38,5.0,3.12,4.25,1.75,0.75,1.12,0.62,1.0,0.0,1.62,0.62,1.88,1.62,1.75,1.5,1.0,0.0,1.0,0.0,1.0,0.0,1.75,1.0,4.5,5.75,4.12,5.38,4.12,5.12,4.0,4.75,4.12,5.5,3.88,4.75,4.25,5.38,8,4.5,4.88,4.25,4.62,4.38,5.0,4.12,4.62,3.88,4.62,3.88,4.25,4.0,5.0,4.12,5.0,4.0,5.0,3.62,4.0,3.5,4.12,3.38,3.88,3.25,4.12,3.0,3.12,3.12,3.38,3.38,3.5,3.12,2.88,1.12,0.12,3.12,3.88,3.0,3.12,3.0,2.88,1.0,0.0,1.0,0.0,2.25,2.0,1.75,1.12,1.75,0.88,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,3.88,4.5,3.0,3.12,1.88,1.62,1.0,0.0,1.0,0.0,1.75,1.5,1.0,0.0,1.75,1.5,2.12,2.12,1.0,0.0,4.12,4.62,4.12,4.88,8,4.75,6.23,2.66,3.5,3.7,4.36,3.23,3.9,4.09,5.55,4.1,5.02,2.63,2.92,1.14,0.29,2.23,2.54,1.75,1.59,2.05,2.04,2.11,2.0,1.67,1.05,3.4,4.23,1.23,0.41,1.43,0.95,1.34,0.56,3.1,3.94,2.61,2.99,1.59,1.29,1.35,0.73,2.0,2.5,3.24,4.45,4.07,4.56,1.56,0.78,1.43,0.87,1.48,1.09,1.7,1.82,3.3,3.61,3.92,4.0,1.76,1.59,2.7,3.35,2.21,1.91,27.0
1,Chief Sustainability Officers,4.0,4.25,3.88,4.12,3.88,4.38,4.0,4.25,2.75,3.38,1.75,1.5,4.0,4.12,3.5,3.75,3.38,3.5,3.62,4.12,3.75,3.62,3.62,3.75,3.62,3.88,2.88,3.25,3.25,3.38,3.25,3.38,4.0,4.25,2.62,3.38,1.62,1.0,1.12,0.5,1.0,0.0,1.62,0.88,2.25,2.12,1.62,1.25,1.0,0.0,1.12,0.12,1.0,0.0,2.25,2.12,3.75,3.75,3.62,3.88,3.62,3.75,3.38,3.5,2.62,3.38,2.38,2.62,3.38,3.75,8,4.0,4.5,4.0,4.38,4.0,4.62,3.88,4.38,3.62,4.12,3.62,4.0,3.88,4.25,4.0,4.5,4.0,4.25,3.5,3.62,3.38,3.62,2.88,3.25,2.75,3.25,2.25,2.5,2.38,2.62,3.0,3.0,2.38,2.38,1.25,0.25,2.75,3.12,2.88,2.75,2.62,2.38,1.0,0.0,1.0,0.0,2.25,2.0,1.75,1.25,1.62,1.0,1.12,0.12,1.12,0.25,1.25,0.38,1.12,0.12,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.12,0.25,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,3.38,3.5,2.62,2.75,2.0,1.62,1.0,0.0,1.0,0.0,2.0,1.88,1.0,0.0,2.0,1.5,1.88,1.62,1.12,0.12,4.0,3.62,4.0,3.62,8,3.85,4.72,2.58,3.64,2.96,3.6,3.5,4.84,3.62,4.92,2.72,4.08,2.23,2.35,1.64,1.36,2.65,3.68,3.35,4.2,3.72,4.8,3.69,4.32,2.64,2.76,3.12,4.15,2.48,2.96,2.36,3.04,2.44,3.08,2.88,3.24,2.38,3.36,2.46,3.81,1.23,0.54,1.23,0.54,3.48,5.19,3.81,4.48,1.4,0.88,1.38,0.96,1.8,1.88,1.85,2.42,2.4,3.38,2.88,3.08,1.58,0.81,2.84,2.92,2.42,2.48,26.0
2,General and Operations Managers,3.88,4.0,4.0,4.0,3.25,3.88,4.0,4.0,2.38,2.5,1.88,1.12,3.88,4.0,3.5,3.62,3.0,3.25,4.0,4.0,4.0,4.0,4.0,3.88,3.38,3.5,3.62,3.62,3.12,3.25,3.25,3.12,3.5,3.75,2.75,3.12,1.88,1.12,1.0,0.0,1.0,0.0,1.5,0.62,2.75,2.62,2.0,1.75,1.0,0.0,2.0,1.38,1.0,0.0,2.38,2.12,3.5,3.75,3.0,3.0,3.0,3.12,3.75,3.75,3.12,3.38,3.25,3.25,3.5,3.88,8,4.0,4.12,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.25,3.0,3.38,4.0,3.88,3.75,3.75,3.12,3.38,3.5,3.62,3.0,3.0,2.88,3.12,2.75,2.62,2.12,2.25,2.25,2.12,2.75,2.25,2.62,2.25,1.5,0.62,2.75,2.5,3.0,2.88,2.88,2.88,2.0,1.5,1.5,0.75,1.75,1.38,1.75,1.38,1.88,1.5,1.38,0.75,1.75,1.12,2.12,1.75,1.38,0.62,1.5,0.62,2.0,1.75,1.5,0.75,1.62,0.75,2.12,2.12,2.0,1.5,1.38,0.5,1.0,0.0,1.88,1.25,1.5,0.62,3.25,3.25,2.75,2.88,2.0,2.25,1.38,0.5,1.5,0.88,2.0,1.88,1.38,0.38,2.0,2.0,2.12,2.0,1.5,0.62,3.88,3.25,4.0,3.25,8,4.35,5.21,3.51,3.7,3.47,3.84,3.47,4.05,3.95,5.06,3.76,4.43,3.39,4.34,1.34,0.49,3.33,4.0,2.42,2.31,2.38,2.66,2.51,2.62,2.71,2.91,3.56,4.16,1.81,1.41,1.95,1.74,1.5,0.9,2.72,2.78,1.81,1.3,1.76,1.68,1.55,0.86,1.77,1.48,2.97,3.87,3.71,3.68,1.62,1.13,1.16,0.47,1.21,0.43,1.51,0.87,3.1,3.12,2.95,3.12,2.5,2.33,2.59,2.68,2.2,2.31,55.0
3,Advertising and Promotions Managers,3.75,4.0,4.12,4.12,3.75,3.88,4.0,4.12,3.0,3.25,1.62,0.62,4.0,4.12,3.25,4.12,3.0,3.25,3.25,4.25,4.0,4.0,3.5,4.12,3.38,3.88,3.12,3.75,2.88,3.0,3.12,3.25,3.5,3.88,2.75,3.12,1.75,0.75,1.12,0.12,1.0,0.0,1.75,0.75,1.62,0.62,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.62,1.0,3.75,4.0,3.12,3.12,3.12,3.75,3.5,3.88,2.75,3.62,2.62,2.62,3.12,3.88,8,4.0,4.38,4.0,4.0,4.25,4.75,3.88,4.0,3.75,4.12,3.75,3.88,3.62,4.0,3.88,4.5,3.5,3.88,3.25,3.75,3.38,3.88,3.0,3.12,2.88,3.12,2.5,2.38,2.62,2.75,3.12,3.12,2.88,2.75,1.0,0.0,3.25,3.12,2.88,2.75,2.75,2.12,1.38,0.5,1.38,0.38,1.62,1.12,1.12,0.12,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.75,0.75,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.62,0.88,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,3.75,4.12,2.88,3.12,2.88,2.75,1.0,0.0,1.0,0.0,1.75,1.0,1.0,0.0,1.75,1.25,1.75,1.25,1.0,0.0,3.88,4.0,4.0,3.88,8,4.12,4.41,3.25,4.34,3.04,2.94,4.68,5.58,4.16,5.39,2.6,3.08,2.58,2.68,1.04,0.08,3.31,4.17,1.91,1.57,2.79,2.92,1.44,0.64,1.41,0.67,3.16,3.55,1.34,0.49,1.22,0.37,1.23,0.45,2.87,2.74,2.5,2.77,1.99,2.07,1.42,0.48,1.75,1.42,2.94,3.85,4.41,4.85,1.58,1.04,2.35,2.3,1.67,1.13,1.89,2.11,2.47,2.19,2.23,2.09,2.4,1.91,4.35,5.21,1.95,1.59,27.0
4,Marketing Managers,3.88,4.25,3.88,4.12,3.25,3.88,3.88,4.12,2.75,3.12,1.75,1.5,3.88,4.25,3.88,4.12,3.12,3.5,3.75,4.25,3.88,4.0,3.5,3.75,3.75,4.38,3.62,3.88,3.0,3.5,3.12,3.25,3.62,3.88,3.38,3.62,1.75,0.88,1.0,0.0,1.0,0.0,1.88,1.25,1.75,1.25,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.88,1.38,3.75,4.0,3.25,3.75,3.5,3.75,3.5,3.75,2.88,3.75,2.62,2.75,3.38,3.88,8,4.0,4.38,4.0,4.12,4.0,4.12,3.88,4.12,3.75,4.25,3.62,4.0,3.62,3.88,3.88,4.38,3.75,3.88,3.25,3.5,3.25,3.62,3.12,3.62,3.12,3.5,2.62,3.0,2.75,3.0,3.0,3.0,2.75,2.88,1.0,0.0,3.0,3.0,2.88,2.88,2.75,2.62,1.12,0.12,1.0,0.0,1.75,1.25,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.62,0.75,1.0,0.0,1.0,0.0,1.0,0.0,1.25,0.25,1.75,0.88,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,3.5,3.75,2.88,3.25,2.88,2.88,1.0,0.0,1.0,0.0,1.75,0.75,1.0,0.0,1.88,1.5,1.88,1.62,1.0,0.0,3.62,3.88,3.75,3.88,8,4.04,4.61,3.01,4.1,3.1,3.55,4.85,6.05,3.85,4.85,2.71,3.55,2.46,2.92,1.12,0.28,3.51,4.05,2.77,2.47,3.15,3.55,1.19,0.42,1.33,0.54,3.51,4.4,1.18,0.37,1.21,0.43,1.1,0.2,2.45,2.86,2.03,2.44,2.2,2.55,1.26,0.44,1.63,1.1,3.03,4.15,4.48,5.04,1.64,1.36,1.7,1.32,1.68,1.09,1.64,1.12,2.5,2.26,2.86,2.93,2.86,2.56,3.8,4.21,1.68,1.53,37.0
5,Sales Managers,3.88,4.0,4.0,4.0,3.62,4.0,4.0,4.12,3.0,3.25,1.62,0.62,3.88,4.0,3.75,3.88,3.25,3.75,3.75,4.75,3.88,4.12,3.88,4.12,4.12,4.38,3.88,3.88,3.62,3.62,3.88,3.88,3.75,3.88,2.62,2.88,1.75,0.88,1.0,0.0,1.0,0.0,1.62,0.88,1.75,1.75,1.75,1.25,1.0,0.0,1.0,0.0,1.0,0.0,1.75,1.38,3.75,4.0,3.62,3.75,3.62,3.88,3.5,3.88,3.0,3.62,2.88,3.0,3.75,4.0,8,4.0,4.5,4.0,4.0,4.0,4.12,3.88,4.0,3.75,3.75,3.62,3.88,3.75,3.88,3.88,4.38,3.75,4.0,3.38,3.38,3.25,3.62,3.12,3.75,3.12,3.62,3.0,3.0,2.75,3.0,2.75,2.75,2.5,2.38,1.5,0.5,2.38,2.5,2.62,2.62,2.62,2.38,1.38,0.5,1.5,0.62,1.75,1.25,1.62,0.88,1.5,0.62,1.38,0.5,1.12,0.12,1.12,0.12,1.5,0.5,1.12,0.12,1.0,0.0,1.0,0.0,1.0,0.0,1.75,1.38,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,3.25,3.75,2.62,2.88,1.88,1.62,1.12,0.25,1.12,0.25,1.62,1.0,1.12,0.25,1.75,1.5,2.0,1.88,1.12,0.25,3.88,4.0,3.88,4.12,8,4.0,5.26,2.91,4.3,2.91,3.7,4.7,6.13,4.48,5.39,3.04,3.91,2.65,3.09,1.04,0.09,3.17,3.96,2.13,2.0,1.83,1.43,1.65,1.13,1.87,1.39,3.09,4.22,1.52,0.91,1.39,0.96,1.35,0.61,2.68,2.95,1.86,1.68,2.26,2.39,1.04,0.09,1.57,1.04,3.35,4.65,4.32,4.68,1.78,1.35,1.35,0.61,1.22,0.52,1.57,1.22,1.87,1.48,2.04,2.13,2.73,1.96,3.17,3.04,2.22,2.13,23.0
6,Public Relations and Fundraising Managers,4.0,4.25,4.0,4.12,4.0,4.38,4.0,4.5,2.62,2.62,1.62,0.62,3.62,4.0,3.25,3.5,3.0,3.12,3.25,3.88,4.12,4.25,3.62,3.88,3.88,4.0,3.38,3.62,3.0,3.38,3.38,3.5,3.88,3.88,2.38,2.12,1.62,0.62,1.0,0.0,1.0,0.0,1.62,0.62,1.75,0.75,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.62,1.0,3.75,4.0,3.5,3.62,3.5,3.5,3.5,3.75,3.0,3.25,2.62,2.62,3.0,3.62,8,4.0,4.5,4.0,4.12,4.25,4.75,4.12,4.62,4.0,4.12,3.62,4.0,3.88,4.0,3.88,4.12,3.88,3.75,3.62,3.62,3.25,3.38,2.75,3.0,2.88,3.0,2.62,2.75,2.75,2.75,2.75,2.75,2.38,2.38,1.0,0.0,2.88,2.75,2.88,2.88,2.88,2.75,1.0,0.0,1.0,0.0,1.88,1.62,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.5,0.62,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.75,1.12,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,3.5,4.0,2.75,2.88,2.25,2.0,1.0,0.0,1.0,0.0,1.75,0.88,1.0,0.0,1.75,1.5,1.75,1.5,1.0,0.0,3.75,3.88,3.88,4.38,8,3.85,4.48,3.1,4.24,2.92,2.94,4.44,5.47,4.36,5.86,2.92,3.74,1.45,0.77,1.04,0.12,2.34,2.88,1.31,0.51,1.25,0.41,1.18,0.22,1.05,0.08,2.81,3.9,1.13,0.26,1.22,0.55,1.13,0.15,3.02,3.27,2.6,3.25,1.62,1.22,1.63,0.86,1.83,1.54,2.88,4.02,4.36,4.91,1.43,0.6,2.39,2.27,1.79,1.49,1.86,2.13,2.12,1.69,2.62,2.74,1.79,1.11,3.99,4.84,1.53,1.01,30.0
7,Administrative Services Managers,4.0,4.0,4.0,4.0,3.75,3.75,3.88,3.88,2.25,2.12,1.0,0.0,3.75,3.88,3.12,3.38,3.0,3.25,3.38,3.62,3.25,3.75,3.75,3.62,3.0,3.12,3.62,3.25,3.0,3.25,3.25,3.25,3.25,3.12,2.75,2.5,1.5,0.75,1.12,0.25,1.0,0.0,1.38,0.62,2.25,2.25,1.62,1.0,1.0,0.0,1.88,1.25,1.0,0.0,2.25,2.12,3.25,3.12,3.12,3.12,2.75,3.12,4.0,4.0,2.88,2.88,2.88,2.88,3.38,3.75,8,4.0,4.0,4.0,4.0,4.0,4.0,3.88,4.0,3.12,3.12,3.0,3.12,3.5,3.75,3.62,3.88,3.5,3.38,3.12,3.12,3.12,3.12,2.62,2.5,2.75,2.75,2.62,2.62,2.12,2.62,2.88,2.38,2.75,2.38,1.5,0.5,2.88,2.75,3.12,3.0,3.12,2.88,2.12,2.0,2.0,1.62,2.5,2.12,2.0,1.75,1.62,1.0,1.5,0.62,1.62,0.88,1.5,0.88,1.25,0.38,1.0,0.0,1.62,1.0,1.5,0.75,1.5,0.75,1.75,1.25,1.38,0.5,1.5,0.75,1.0,0.0,1.5,0.62,1.5,0.62,3.62,3.62,2.75,2.75,2.0,2.0,1.5,0.62,1.5,0.62,2.0,1.62,1.5,0.62,2.12,2.12,2.25,2.25,1.5,0.75,3.62,3.62,3.62,3.5,8,4.24,4.56,3.9,5.18,2.92,3.14,1.95,2.0,4.44,5.17,3.35,4.12,2.89,3.02,1.27,0.61,3.35,4.15,2.06,1.62,2.1,2.01,2.29,2.17,2.33,2.25,3.26,3.54,1.6,1.14,1.52,1.33,1.37,0.74,2.07,1.99,1.76,1.45,1.51,1.1,1.78,1.08,1.74,1.39,2.84,3.05,4.03,3.86,1.37,0.75,1.13,0.21,1.42,0.77,1.49,1.31,3.29,3.29,2.88,2.66,2.63,2.19,2.4,2.2,1.94,1.41,43.0
8,Computer and Information Systems Managers,4.0,4.0,4.0,4.0,3.75,4.0,3.88,3.88,3.12,3.12,1.75,1.38,4.12,4.0,3.38,3.88,3.25,3.5,3.88,4.38,3.62,3.75,3.75,3.88,3.12,3.5,3.0,3.25,3.12,3.88,2.88,3.12,3.75,3.88,3.12,3.38,2.5,2.0,1.88,2.0,1.0,0.0,2.75,2.62,2.88,2.88,2.0,1.62,1.38,0.62,2.5,2.5,1.5,0.75,2.75,3.0,3.88,3.75,3.62,3.5,3.62,3.88,3.38,3.75,3.0,3.38,2.75,3.12,3.62,3.75,8,4.0,4.5,4.0,4.38,4.0,4.38,3.75,4.12,3.38,3.75,3.25,3.5,4.0,4.0,4.0,4.0,4.0,4.0,3.75,4.0,3.25,3.12,3.0,3.0,3.12,3.12,2.62,2.62,2.75,2.75,3.0,3.0,2.75,2.75,1.12,0.12,3.0,3.0,2.88,2.88,2.62,2.12,2.25,2.0,2.12,2.0,2.12,2.0,2.0,2.0,1.38,0.38,1.25,0.25,1.25,0.25,1.25,0.25,2.0,1.38,1.0,0.0,1.0,0.0,1.0,0.0,1.5,0.5,1.75,1.12,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,3.75,3.75,2.75,2.88,2.38,2.38,1.0,0.0,1.0,0.0,1.75,1.12,1.12,0.25,1.75,1.5,2.0,1.75,1.0,0.0,3.38,3.5,3.62,3.25,8,3.7,4.31,2.48,3.69,2.15,2.16,1.92,1.77,4.05,4.72,3.42,4.09,1.78,1.42,1.0,0.0,4.77,6.13,3.5,3.99,2.61,3.0,1.24,0.65,1.38,0.62,3.16,4.67,1.61,1.2,1.23,0.58,1.01,0.01,2.22,2.27,1.9,1.69,2.24,2.49,1.02,0.02,1.44,0.78,3.05,3.95,3.48,3.63,1.28,0.74,1.42,0.74,1.03,0.06,1.23,0.69,1.94,1.52,2.12,2.03,2.63,2.81,2.16,2.5,1.18,0.41,26.0
9,Treasurers and Controllers,4.0,4.25,3.88,4.25,3.62,4.0,4.0,4.12,3.88,4.12,1.5,0.5,4.12,4.5,3.75,4.25,3.0,3.38,3.62,4.25,3.25,3.62,3.75,3.75,3.0,3.75,3.0,3.25,2.88,3.38,2.88,2.88,4.0,4.12,2.75,3.25,1.5,0.5,1.0,0.0,1.0,0.0,1.88,1.5,1.62,1.12,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.88,1.5,4.12,4.5,3.38,4.38,3.38,4.12,3.5,4.0,4.0,5.25,2.62,3.0,3.0,3.75,8,4.0,4.25,4.0,4.38,4.0,4.62,3.88,4.12,3.12,3.62,3.12,3.38,4.0,4.75,4.12,4.5,4.12,4.12,3.75,3.88,3.5,3.62,3.88,4.25,3.75,4.38,2.75,2.75,3.12,3.12,3.0,3.12,3.0,3.0,1.0,0.0,2.62,2.75,2.75,2.75,2.5,2.12,1.0,0.0,1.0,0.0,2.62,2.12,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.25,0.38,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,3.88,4.25,2.75,3.0,1.88,1.5,1.0,0.0,1.0,0.0,1.62,0.62,1.0,0.0,1.75,1.38,1.75,1.5,1.0,0.0,3.75,3.75,3.75,3.75,8,4.2,5.93,2.3,3.37,4.8,6.23,1.83,1.97,2.6,3.6,3.47,4.43,2.24,2.38,1.1,0.2,3.1,4.17,1.53,1.0,1.47,1.07,1.4,0.97,1.27,0.63,4.0,5.1,1.13,0.27,1.2,0.47,1.23,0.43,2.33,2.9,1.93,1.93,1.53,1.31,1.57,0.9,1.57,1.27,2.5,3.33,3.97,4.27,1.47,0.9,1.2,0.3,1.5,1.03,1.43,1.07,2.03,1.9,3.53,3.8,1.97,1.45,2.43,2.2,1.59,1.3,30.0
